wikidata_id,label,uri
Q66348954,Aeronautics & Space Report (NAID 4051451),http://www.wikidata.org/entity/Q66348954
Q67417074,Aeronautics and Space Report from NASA Headquarters (NAID 101938001),http://www.wikidata.org/entity/Q67417074
Q66348972,Aeronautics & Space Report (NAID 4319778),http://www.wikidata.org/entity/Q66348972
Q130213689,Aeronautical Radio Operator (Japan),http://www.wikidata.org/entity/Q130213689
Q66196678,Aeronautical Chart Updating Manuals (NAID 5956621),http://www.wikidata.org/entity/Q66196678
Q134250783,Aeronautics and Astronautics Research Center,http://www.wikidata.org/entity/Q134250783
Q66348975,Aeronautics & Space Report (NAID 3938596),http://www.wikidata.org/entity/Q66348975
Q118090284,Aeronautical Data Format,http://www.wikidata.org/entity/Q118090284
Q66147261,Aeronautical Manuals Relating to the Data Managers Section (NAID 7866456),http://www.wikidata.org/entity/Q66147261
Q66349021,Aeronautics & Space Report (NAID 44762),http://www.wikidata.org/entity/Q66349021
Q66349013,Aeronautics & Space Report (NAID 44625),http://www.wikidata.org/entity/Q66349013
Q66349016,Aeronautics & Space Report (NAID 44627),http://www.wikidata.org/entity/Q66349016
Q106989778,Aeronautical statutes and related materials,http://www.wikidata.org/entity/Q106989778
Q64207314,Aeronautical Chart Index Catalogs (NAID 66539013),http://www.wikidata.org/entity/Q64207314
Q66348978,Aeronautics & Space Report (NAID 3960414),http://www.wikidata.org/entity/Q66348978
Q66348970,Aeronautics & Space Report (NAID 4230486),http://www.wikidata.org/entity/Q66348970
Q66150504,Aeronautical Technical Manuals and Handbooks (NAID 7586466),http://www.wikidata.org/entity/Q66150504
Q66348973,Aeronautics & Space Report (NAID 4335323),http://www.wikidata.org/entity/Q66348973
Q64394042,Aeronautical Chart Specifications (NAID 27023455),http://www.wikidata.org/entity/Q64394042
Q64277209,Aeronautical Atlas Charts (NAID 44276838),http://www.wikidata.org/entity/Q64277209
Q124465661,Aeronautical band leakage assessment in high split HFC plant,http://www.wikidata.org/entity/Q124465661
Q66348996,Aeronautics & Space Report (NAID 103401),http://www.wikidata.org/entity/Q66348996
Q66348953,Aeronautics & Space Report (NAID 4051450),http://www.wikidata.org/entity/Q66348953
